crop,crop_id,month,growth_stage,soil_moisture_pct,temperature_c,humidity_pct,rainfall_24h_mm,wind_speed_kmh,solar_radiation,eto_mm_day,kc,etc_mm_day,days_since_irrigation,moisture_threshold,irrigate
citrus,1,6,3,39.9,29.7,31.7,0.0,2.0,25.0,12.0,0.85,10.2,3,46,1
citrus,1,10,4,75.5,20.4,61.1,2.3,1.5,11.8,2.21,0.75,1.66,9,42,0
citrus,1,9,3,60.8,28.5,25.0,0.0,3.7,12.0,8.94,0.85,7.6,6,46,0
wheat,2,6,4,49.7,23.0,40.7,0.0,6.5,25.0,9.78,0.5,4.89,7,25,0
olive,0,6,2,12.1,31.7,40.7,0.0,1.9,25.0,12.0,0.75,9.0,5,40,1
olive,0,1,0,57.1,9.8,65.4,0.0,3.6,20.4,1.29,0.65,0.84,6,30,1
olive,0,6,2,22.5,21.8,33.6,0.0,6.4,25.0,9.85,0.75,7.39,8,40,1
wheat,2,7,0,32.3,29.5,15.0,0.0,2.4,19.5,12.0,0.4,4.8,11,30,0
citrus,1,3,1,38.2,15.9,71.4,0.0,3.9,25.0,2.38,0.75,1.79,7,42,1
olive,0,12,0,53.2,10.7,63.5,4.4,3.0,13.1,0.95,0.65,0.61,5,30,0
citrus,1,11,4,27.8,15.2,88.6,4.3,9.6,11.7,0.5,0.75,0.38,8,42,1
olive,0,3,1,38.9,20.1,44.8,0.0,3.6,25.0,6.71,0.7,4.7,10,35,0
citrus,1,1,0,41.7,12.7,70.6,19.5,3.0,20.2,1.44,0.7,1.0,1,40,0
citrus,1,5,2,47.6,25.4,43.2,0.0,9.3,25.0,11.99,0.85,10.19,2,48,1
olive,0,2,0,48.5,14.5,75.5,0.0,3.7,25.0,1.8,0.65,1.17,1,30,0
olive,0,4,1,46.8,28.2,52.6,0.0,1.3,25.0,10.9,0.7,7.63,3,35,0
olive,0,9,4,39.4,29.4,40.2,0.0,3.9,11.1,7.07,0.7,4.95,3,32,0
citrus,1,12,4,50.4,14.8,77.4,4.5,8.7,15.9,1.17,0.75,0.88,10,42,0
olive,0,8,3,42.8,31.9,38.9,0.0,5.8,16.8,12.0,0.75,9.0,6,37,0
olive,0,10,4,51.4,14.1,53.3,4.9,5.0,12.0,1.61,0.7,1.13,2,32,0
citrus,1,6,3,30.9,24.6,35.1,0.0,8.6,25.0,12.0,0.85,10.2,10,46,1
citrus,1,6,3,43.9,29.3,37.9,0.0,6.5,25.0,12.0,0.85,10.2,12,46,1
olive,0,12,0,49.2,11.6,72.2,0.0,4.1,13.9,0.86,0.65,0.56,5,30,0
olive,0,6,2,74.7,23.8,57.0,0.0,3.2,25.0,7.15,0.75,5.37,12,40,0
citrus,1,5,2,57.9,24.0,69.7,0.0,6.1,25.0,5.39,0.85,4.58,7,48,0
wheat,2,2,1,10.8,11.6,74.5,0.0,3.8,25.0,1.4,0.7,0.98,13,35,1
wheat,2,9,0,31.9,24.7,38.7,0.0,6.1,16.0,7.42,0.4,2.97,5,30,0
wheat,2,4,3,25.5,13.6,59.8,0.0,8.4,25.0,2.94,1.15,3.38,9,45,1
wheat,2,11,0,28.2,13.1,81.8,1.9,7.6,12.0,0.6,0.4,0.24,10,30,1
citrus,1,1,0,71.7,7.4,78.3,12.9,4.5,23.5,0.73,0.7,0.51,2,40,0
citrus,1,6,3,58.6,30.0,42.0,0.0,2.8,25.0,12.0,0.85,10.2,4,46,0
citrus,1,5,2,74.2,20.2,48.1,0.0,8.3,25.0,6.94,0.85,5.9,14,48,0
wheat,2,5,3,20.7,20.4,48.0,0.0,6.2,25.0,6.81,1.15,7.84,9,45,1
citrus,1,6,3,57.6,32.7,37.2,0.0,6.4,25.0,12.0,0.85,10.2,5,46,0
citrus,1,2,0,51.4,7.1,81.3,2.0,8.9,25.0,0.71,0.7,0.49,6,40,0
olive,0,7,3,52.5,27.6,31.3,0.0,2.7,21.2,12.0,0.75,9.0,2,37,0
citrus,1,4,1,56.2,24.8,55.3,0.0,6.4,25.0,8.59,0.75,6.44,3,42,0
wheat,2,8,0,47.5,35.0,27.5,0.0,6.1,15.1,12.0,0.4,4.8,13,30,0
wheat,2,12,0,34.5,9.2,77.8,0.0,7.7,15.3,0.63,0.4,0.25,1,30,0
citrus,1,4,1,53.8,20.4,64.0,0.0,4.7,25.0,4.59,0.75,3.44,9,42,0
